,Week_Number,Symbol,High,Low
338,43.0,BAJFINANCE,4210.6,3948.0
339,43.0,CANBK,196.55,186.25
340,43.0,ESCORTS,657.45,0.0
341,43.0,JINDALSTEL,108.6,101.9
342,43.0,RELIANCE,1457.25,1401.1
343,43.0,TATAMOTORS,150.9,127.3
344,44.0,ADANIENT,202.4,187.75
345,44.0,APOLLOTYRE,195.9,180.8
346,44.0,BAJFINANCE,4138.35,4019.65
347,44.0,CANBK,210.6,194.0
348,44.0,ESCORTS,676.2,647.55
349,44.0,JINDALSTEL,124.2,108.8
350,44.0,RELIANCE,1498.35,1452.4
351,44.0,TATAMOTORS,180.3,153.8
352,45.0,ADANIENT,211.95,199.3
353,45.0,APOLLOTYRE,185.6,162.0
354,45.0,BAJFINANCE,4302.0,4114.0
355,45.0,CANBK,215.8,201.7
356,45.0,ESCORTS,670.0,642.65
357,45.0,JINDALSTEL,151.2,127.0
358,45.0,RELIANCE,1481.6,1442.65
359,45.0,TATAMOTORS,179.9,169.05
360,46.0,ADANIENT,212.95,195.55
361,46.0,APOLLOTYRE,169.0,160.9
362,46.0,BAJFINANCE,4278.0,4150.0
363,46.0,CANBK,215.15,194.45
364,46.0,ESCORTS,677.9,646.05
365,46.0,JINDALSTEL,153.5,139.55
366,46.0,RELIANCE,1494.75,1434.8
367,46.0,TATAMOTORS,177.25,166.5
368,47.0,ADANIENT,209.9,197.65
369,47.0,APOLLOTYRE,170.65,162.2
370,47.0,BAJFINANCE,4225.0,4057.65
371,47.0,CANBK,229.05,206.2
372,47.0,ESCORTS,690.95,641.2
373,47.0,JINDALSTEL,147.8,135.95
374,47.0,RELIANCE,1579.4,1464.1
375,47.0,TATAMOTORS,173.1,161.3
376,48.0,ADANIENT,222.35,203.15
377,48.0,APOLLOTYRE,173.2,165.5
378,48.0,BAJFINANCE,4191.9,3975.7
379,48.0,CANBK,235.4,218.4
380,48.0,ESCORTS,672.9,631.95
381,48.0,JINDALSTEL,166.75,146.35
382,48.0,RELIANCE,1591.05,1556.1
383,48.0,TATAMOTORS,170.2,160.6
384,49.0,ADANIENT,214.25,204.5
385,49.0,APOLLOTYRE,178.15,164.75
386,49.0,BAJFINANCE,4097.25,3915.15
387,49.0,CANBK,228.7,207.05
388,49.0,ESCORTS,668.5,602.6
389,49.0,JINDALSTEL,162.65,135.65
390,49.0,RELIANCE,1616.6,1543.0
391,49.0,TATAMOTORS,172.55,157.7
392,50.0,ADANIENT,213.6,202.75
